"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"MAP3K12"	"MAP3K12"	7.13065607842133	0	66951.3636363636	9930705.03030303	477407.148072233
"CDC42BPA"	"CDC42BPA"	6.99196129025576	0	12750.9393939394	1757930.45454545	89154.0746568215
"VARS2"	"VARS2"	7.47395994946124	0	1433.12121212121	285994.515151515	10711.0905421173
"P2RX1"	"P2RX1"	6.13986239103199	1.63251191891303e-269	7001.90909090909	528233	42990.7582926977
"ANKRD29"	"ANKRD29"	6.02840109986841	1.37985684417055e-262	2400.84848484848	160138.121212121	14473.277646678
"SUPT5H"	"SUPT5H"	5.95147461939576	7.81833125794221e-258	1931.87878787879	129068.878787879	11497.5275738097
"SPRED1"	"SPRED1"	5.93871901325717	4.20604079698517e-257	2986.69696969697	203369.818181818	17737.154080777
"GLB1L2"	"GLB1L2"	5.86339906838897	1.83383007233957e-252	423403.121212121	26681760	2482581.46646813
"MAP4K1"	"MAP4K1"	5.50414208160865	3.98764963089932e-230	8207.09090909091	399021.333333333	45172.994440315
"CBY1"	"CBY1"	-5.46748915758478	6.5820853289961e-228	18962777.2727273	456344.303030303	103678779.136332
"SLC29A2"	"SLC29A2"	5.38844859063298	4.91734064077947e-223	2238.24242424242	103360.272727273	12060.654236404
"C21orf58"	"C21orf58"	-5.37742536248169	2.05441479242315e-222	561880.96969697	14483.6060606061	3021472.97714429
"SMN1"	"SMN1"	5.19856089869406	1.91067238016397e-211	320415	13269948.3030303	1665696.89035506
"KPTN"	"KPTN"	-5.11095046288841	4.02320680610652e-206	772981.03030303	24431.5454545455	3950667.75463124
"TRMT5"	"TRMT5"	5.11062698039155	4.02320680610652e-206	221683.757575758	8362147.60606061	1132942.99258125
"TAOK2"	"TAOK2"	4.99502221958207	4.39468788105545e-199	4798.12121212121	164902.515151515	23966.7220667935
"PBX3"	"PBX3"	4.977122383958	4.90364084575095e-198	90684.0606060606	3247321.84848485	451345.667910628
"FDXR"	"FDXR"	4.94013703309399	8.67948181273934e-196	2906.45454545455	95828.6666666667	14358.2837350044
"MTMR12"	"MTMR12"	-4.87347555914807	8.48202383850309e-192	15549444.3939394	572233.909090909	75779837.2121956
"FCRL6"	"FCRL6"	4.84291722233529	5.71307430731356e-190	28560.6060606061	871212.181818182	138316.650971243
"ZNF554"	"ZNF554"	4.840981554739	7.09207915078362e-190	62057.1818181818	1937160.06060606	300417.672520903
"RHOD"	"RHOD"	4.82485880757506	6.39105766644698e-189	33055.4848484848	999337.363636364	159488.047209876
"IYD"	"IYD"	4.79902366755134	2.21040596427197e-187	42448.303030303	1470457.09090909	203710.410889815
"PRKCH"	"PRKCH"	4.75579929768142	8.74892715627327e-185	6174.36363636364	176075.090909091	29364.0342454479
"GIMAP8"	"GIMAP8"	4.60977125563461	4.60713894852742e-176	43110	1149418.63636364	198727.238830408
"FLT4"	"FLT4"	4.50806503564725	5.12929179964728e-170	6519.51515151515	160925.909090909	29390.398303918
"SURF1"	"SURF1"	-4.49114248856986	4.88336472024162e-169	591656.272727273	28117.696969697	2657212.62507433
"PPFIA1"	"PPFIA1"	4.4786601871878	2.57327410797476e-168	54009.696969697	1362416.48484848	241891.079540259
"GATAD1"	"GATAD1"	4.46779946080566	1.1351720922939e-167	4803.72727272727	110274.121212121	21462.0901189484
"EPS15"	"EPS15"	4.39165357670481	3.32258815415496e-163	28370	628914.03030303	124591.211971115
"SLC22A17"	"SLC22A17"	-4.34827950854922	1.16172188806114e-160	193768.212121212	10263.6060606061	842558.346174885
"SPSB3"	"SPSB3"	4.33296348718902	8.72669501183799e-160	282470.515151515	6136801.27272727	1223934.42835899
"TBL1X"	"TBL1X"	-4.32323602112573	3.17558374892594e-159	455746.939393939	24625.5757575758	1970301.58490568
"TOLLIP"	"TOLLIP"	4.27490315957335	2.13124626717497e-156	6727.15151515152	145018.545454545	28757.9212670499
"DET1"	"DET1"	4.25454030281006	3.14205983192032e-155	13782.696969697	284692.090909091	58639.0397389939
"ZBTB24"	"ZBTB24"	-4.24899232449809	6.38891007402646e-155	528228.303030303	29600.9393939394	2244438.00515841
"TIMM44"	"TIMM44"	-4.24748811793184	7.62743453978789e-155	388865.484848485	21992.696969697	1651701.52636774
"PPIL6"	"PPIL6"	4.21180672064321	8.86854970909483e-153	25954.696969697	517664.545454545	109316.167129228
"NGDN"	"NGDN"	4.21108780460953	9.49189601465844e-153	28396.8484848485	579478.545454545	119581.62234389
"ZNF227"	"ZNF227"	4.19186568145655	1.23333559103819e-151	9187.51515151515	176886.272727273	38512.8294614984
"SLAIN1"	"SLAIN1"	4.18669628985553	2.38151117710948e-151	14617.5757575758	305509.242424242	61199.3501909246
"CCDC88C"	"CCDC88C"	4.09701325182842	3.63508719844935e-146	7874.15151515152	140556.393939394	32260.5031044806
"GABRB2"	"GABRB2"	-4.0933525053456	5.64952369897013e-146	548008.939393939	34858.4242424242	2243193.76501997
"SLC44A3"	"SLC44A3"	4.08085735812677	2.96251763632116e-145	7340.24242424242	133293.757575758	29954.482307404
"SYTL1"	"SYTL1"	4.0485529764604	2.04370279292553e-143	25169.5757575758	462310.818181818	101900.360849579
"ZMYND15"	"ZMYND15"	4.03735522258619	8.70720214890087e-143	314842.636363636	7172747.87878788	1271131.56221553
"ACTR5"	"ACTR5"	-4.02921752682047	2.54281140981781e-142	180418.090909091	12063.7272727273	726943.734046398
"CYB5R2"	"CYB5R2"	3.98604360850751	7.53843413518521e-140	5265.93939393939	90973.1515151515	20990.264064
"GZMM"	"GZMM"	-3.97931023155743	1.74211634356905e-139	223519.060606061	15301.0303030303	889451.684817802
"ALDH18A1"	"ALDH18A1"	-3.97749507175739	2.14504091747648e-139	545002.181818182	37854.6060606061	2167743.49227884
"PDS5A"	"PDS5A"	3.9697839072372	5.85789293315336e-139	12718.696969697	216250.121212121	50490.4785513296
