"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"MAP3K12"	"MAP3K12"	7.08234829914147	1.58211183870759e-84	38077.6666666667	5616277.66666667	269679.297751943
"SPRED1"	"SPRED1"	5.47205826061741	3.62037414854872e-58	4789.75	222325.416666667	26209.7910537922
"MAP4K1"	"MAP4K1"	5.04735015439603	1.7380577099085e-51	10459.6666666667	378052.166666667	52793.600164931
"MRPL16"	"MRPL16"	4.8031241386909	1.01376422371906e-47	102048.333333333	2940030.66666667	490150.813146509
"CNTLN"	"CNTLN"	-4.67301449797851	9.21165478361683e-46	681480.416666667	29213.1666666667	3184567.86717177
"THAP11"	"THAP11"	-4.6618301115108	1.15134050206784e-45	1096625.91666667	44107.5833333333	5112283.7193798
"RNF165"	"RNF165"	4.64030824261225	2.15111027327576e-45	40649.75	935567.666666667	188627.369985127
"KLHL14"	"KLHL14"	4.47166639335728	8.17829009264671e-43	18606.5833333333	431060.5	83202.4333868683
"GATAD1"	"GATAD1"	4.40588431214999	7.67895437805026e-42	6503.33333333333	138731	28652.9343100154
"GOLGA5"	"GOLGA5"	4.39639560200659	9.46659962464766e-42	6689.25	137161.25	29408.5892807226
"CENPL"	"CENPL"	4.39445409689681	9.46659962464766e-42	4452.75	96588.5833333333	19567.4054799573
"TMEM132B"	"TMEM132B"	-4.38766354206452	1.10039730564695e-41	148974.75	7526.16666666667	653651.079263176
"PRKCH"	"PRKCH"	4.31467023786896	1.36263025341706e-40	7799.58333333333	163615.5	33652.6300761121
"ACPP"	"ACPP"	4.30876832798778	1.55275610681633e-40	30258	633680.916666667	130374.712068254
"SF1"	"SF1"	4.23084159515052	2.2796633208619e-39	30016.8333333333	578446.083333333	126996.467021367
"PBX3"	"PBX3"	4.05897529905692	8.7966380438239e-37	94368.4166666667	1690012	383039.072261111
"P2RX1"	"P2RX1"	3.94873781328786	3.7950141605438e-35	6390.08333333333	106676	25232.7636883938
"PTBP2"	"PTBP2"	-3.91729441177541	1.05143480940499e-34	737738.25	49586.3333333333	2889937.92407797
"ATRN"	"ATRN"	-3.90546122072163	1.50970554708158e-34	64699.1666666667	4487.33333333333	252680.086429672
"FBXO34"	"FBXO34"	-3.77399180327624	1.26595664067513e-32	210784.416666667	15280.5	795498.660758363
"PRR15"	"PRR15"	3.73378951286601	4.73082743083638e-32	4869.5	67195.1666666667	18181.6880329011
"PTPMT1"	"PTPMT1"	3.71658585225417	8.00803346556519e-32	20384.3333333333	275056.416666667	75760.1248742997
"CXCL12"	"CXCL12"	-3.71464492265102	8.30819680048585e-32	34976	2713.75	129923.420814642
"CSAD"	"CSAD"	3.71244367490272	8.50536471211593e-32	5082.5	65618.1666666667	18868.4949776931
"RHOD"	"RHOD"	3.71058009344637	8.62882454779823e-32	20302.4166666667	277255.916666667	75333.7431321871
"CHFR"	"CHFR"	-3.58184873507357	6.16250099665627e-30	184869.5	17625	662174.584728683
"METTL4"	"METTL4"	3.51850516658164	4.82611456353957e-29	41791.3333333333	498991.75	147043.022251669
"ZMAT3"	"ZMAT3"	3.50407241190638	7.54528405471357e-29	5726.16666666667	68302	20064.9026426446
"FCRL6"	"FCRL6"	3.46064969498208	3.00925568807746e-28	42268.1666666667	484337.916666667	146275.318082452
"ZNF554"	"ZNF554"	3.40098135996614	2.03726070227362e-27	64829	686867.666666667	220482.220585245
"SYTL1"	"SYTL1"	3.31893767573567	2.80226568652935e-26	22431.5	232779.666666667	74448.7504732646
"GZMM"	"GZMM"	-3.29118122310197	6.61638654150488e-26	231817.166666667	23602.4166666667	762952.306126032
"KIF14"	"KIF14"	-3.27378843332724	1.11782715879784e-25	386274.75	40042.1666666667	1264581.80863637
"SUPT5H"	"SUPT5H"	3.23936884435968	3.32278338020658e-25	2261.25	20933	7325.02279930832
"DTX1"	"DTX1"	-3.23025966671067	4.2835140150642e-25	23323.0833333333	2875.08333333333	75339.6153949986
"GALK2"	"GALK2"	-3.20948177085327	7.91668942303538e-25	571064.416666667	67994.0833333333	1832820.83527462
"DISP1"	"DISP1"	3.11570235802839	1.47299887916018e-23	13220.5833333333	129941.75	41191.4026661775
"RCSD1"	"RCSD1"	-3.09749430236049	2.52426430885523e-23	156709.416666667	19983.4166666667	485406.525251237
