"mRNA"	"logFC"	"FDR"	"NT"	"TP"	"Delta"
"KDM6B"	"KDM6B"	-14.691383632718	6.38559828329067e-96	3255.63793103448	0	47829.8258140558
"RBBP7"	"RBBP7"	-14.530206251487	6.56320433940677e-95	2705.08620689655	0	39305.4605142595
"TTTY17A"	"TTTY17A"	13.885515416489	7.80137410341299e-90	0	1870.06896551724	0
"RPL22"	"RPL22"	13.7142069348194	1.45380493583273e-88	0	1583.01724137931	0
"SLC25A39"	"SLC25A39"	-12.8439806062079	1.41733814914318e-81	1490.93103448276	0	19149.48929209
"KRTAP5-2"	"KRTAP5-2"	12.7642006648107	5.27874726679945e-81	0	886.465517241379	0
"MAPRE3"	"MAPRE3"	-12.6887322251076	1.86310814538135e-80	802.862068965517	0	10187.3018067994
"C16orf70"	"C16orf70"	-12.5181690266008	3.99158667502211e-79	683.275862068965	0	8553.36273317567
"DRD4"	"DRD4"	-12.473124532724	8.25340925489519e-79	668.103448275862	0	8333.33751108718
"MYO15A"	"MYO15A"	-12.4472000312549	1.20502351480574e-78	1014.87931034483	0	12632.4057834441
"PLCD4"	"PLCD4"	-12.4255773596319	1.64558078509215e-78	697.965517241379	0	8672.62452883825
"ST6GALNAC2"	"ST6GALNAC2"	12.4206742253901	1.65144314392208e-78	0	834.068965517241	0
"SEMA6B"	"SEMA6B"	-12.2928230332664	1.67350366712891e-77	920.948275862069	0	11321.0541779642
"ITGA7"	"ITGA7"	12.276498554803	2.11162338917634e-77	0	644.965517241379	0
"EXOC1"	"EXOC1"	-12.255307159979	2.9358886813923e-77	617.137931034483	0	7563.21490490153
"SLC3A2"	"SLC3A2"	-12.2502265780513	3.02878241466669e-77	565.344827586207	0	6925.60223266036
"ACVR1C"	"ACVR1C"	-12.2102183243989	6.01957054929913e-77	909.965517241379	0	11110.8776331918
"GALNTL5"	"GALNTL5"	12.0687961977254	8.06152904684405e-76	0	544.189655172414	0
"NFASC"	"NFASC"	-12.0381011954301	1.35863517580665e-75	470.689655172414	0	5666.20970060761
"TEAD2"	"TEAD2"	-12.0182805978996	1.87010279089473e-75	612	0	7355.18772591455
"ATG2B"	"ATG2B"	-11.9562886875906	5.68767703036801e-75	582.224137931035	0	6961.23987398705
"DLGAP3"	"DLGAP3"	-11.9440202525624	6.81494217596533e-75	785.827586206897	0	9385.94060467743
"GPCPD1"	"GPCPD1"	-11.9380784761085	7.31215072710726e-75	460.51724137931	0	5497.6909671872
"WDR3"	"WDR3"	-11.9198781546222	9.85214456818511e-75	500.775862068966	0	5969.18725863797
"ADCYAP1R1"	"ADCYAP1R1"	-11.8308782122518	5.01265245617546e-74	503.01724137931	0	5951.13572142149
"EML4"	"EML4"	11.7969845741768	9.09145235137085e-74	0	468.655172413793	0
"ACACA"	"ACACA"	-11.7661057695672	1.5585209205176e-73	586.948275862069	0	6906.09549505821
"MKNK2"	"MKNK2"	-11.6408419908655	1.56493315080206e-72	734.120689655172	0	8545.78295050106
"PLEKHH1"	"PLEKHH1"	-11.4201387949487	9.46111196447497e-71	470.206896551724	0	5369.82802096277
"FAIM2"	"FAIM2"	-11.3675263357139	2.44993302268712e-70	466.913793103448	0	5307.65483961153
"RPS16"	"RPS16"	10.5622008539877	7.65297127775787e-69	415.810344827586	481619.172413793	4391.87237923487
"CDH4"	"CDH4"	-9.66190224471899	2.02963195904964e-61	21477.7068965517	13.9310344827586	207515.50447521
