Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	10	3.0303030303030303	2.7513046072684416E-4	USP7, RELA, BCL2, CD58, ENTPD8, HLA-A, HLA-C, MAPK8, HLA-B, ENTPD1	122	122	6879	4.621741467347486	0.04753773726485544	0.04753773726485544	0.3374160836169149
KEGG_PATHWAY	hsa05168:Herpes simplex infection	10	3.0303030303030303	0.004788597609305104	USP7, RELA, TICAM1, TAP1, HLA-A, HLA-C, MAPK8, HCFC2, HLA-B, CD74	122	183	6879	3.081160978231658	0.5724216116176487	0.3461052161223862	5.72547356029518
KEGG_PATHWAY	hsa05166:HTLV-I infection	12	3.6363636363636362	0.004927114630980241	E2F1, EGR1, CDKN2A, RELA, HLA-A, RRAS, HLA-C, CHEK2, HLA-B, BCL2L1, CANX, DVL1	122	254	6879	2.6638698851168194	0.5828272354937606	0.2527969273599572	5.886516711280876
KEGG_PATHWAY	hsa04612:Antigen processing and presentation	6	1.8181818181818181	0.010600991791375474	TAP1, HLA-A, HLA-C, HLA-B, CANX, CD74	122	76	6879	4.451466781708369	0.8483821579788797	0.3759957066805154	12.26998243313725
KEGG_PATHWAY	hsa05131:Shigellosis	5	1.5151515151515151	0.02574849285397068	NOD1, BTRC, RELA, MAPK8, RHOG	122	64	6879	4.405097336065573	0.9901194236877117	0.6028482730454929	27.414807193286528
KEGG_PATHWAY	hsa05212:Pancreatic cancer	5	1.5151515151515151	0.02707495679737254	E2F1, CDKN2A, RELA, MAPK8, BCL2L1	122	65	6879	4.337326607818411	0.9922366230860182	0.5550186813918838	28.61940047915833
KEGG_PATHWAY	hsa04330:Notch signaling pathway	4	1.2121212121212122	0.05180431119477091	DTX4, DTX2, NUMB, DVL1	122	48	6879	4.698770491803279	0.9999185404856278	0.7394753441006308	47.97165044902291
KEGG_PATHWAY	hsa00900:Terpenoid backbone biosynthesis	3	0.9090909090909091	0.056380843511577086	NUS1, HMGCR, HMGCS1	122	22	6879	7.688897168405365	0.9999654041054888	0.7230648573688349	50.9735018550342
KEGG_PATHWAY	hsa04142:Lysosome	6	1.8181818181818181	0.06160011256168311	NPC2, GALC, CTSD, CTSA, CTSC, CTSH	122	121	6879	2.7959626066928602	0.9999870381610401	0.7136066312604108	54.20228718335125
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	5	1.5151515151515151	0.06660101640080468	RELA, BCL2, TICAM1, BCL2L1, PLAU	122	87	6879	3.2405313736574333	0.9999949659643883	0.7047488292723919	57.1116050008035
KEGG_PATHWAY	hsa04530:Tight junction	5	1.5151515151515151	0.06660101640080468	MAGI1, MPP5, YBX3, MYL12B, MYL12A	122	87	6879	3.2405313736574333	0.9999949659643883	0.7047488292723919	57.1116050008035
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	8	2.4242424242424243	0.06900854957950862	USP7, HDAC4, CDKN2A, GTF2H2C, RELA, HLA-A, HLA-C, HLA-B	122	205	6879	2.2003998400639744	0.9999968129592604	0.6835479124056272	58.45077678174423
KEGG_PATHWAY	hsa04340:Hedgehog signaling pathway	3	0.9090909090909091	0.08098548498394122	CSNK1G1, BTRC, LRP2	122	27	6879	6.2650273224043715	0.9999996778488989	0.7122568667559505	64.56012498847005
