Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GNF_U133A_QUARTILE	Liver_3rd	49	18.992248062015506	3.041844665169744E-10	PALM, ELF3, ERBB3, TNFRSF12A, PFKFB2, LGMN, ERBB2, ADH5, DAZAP2, EPHB3, SDC4, ACAT1, ACSF2, ACOT7, ACSL1, ACOT11, SERPINA1, GALE, ETNK2, AGRN, LDAH, MT1G, WWOX, ALS2CL, MT1F, ALDH6A1, FECH, ACADM, RARG, LAD1, ACACB, ALDH3B1, SOD3, TMPRSS4, CARD10, RDH5, EVPL, IRF5, ADCY9, TACSTD2, ALDH1B1, MLEC, SDHD, ALDH2, FBXL5, DIO1, CTSH, EPS8L1, PC	200	1258	13681	2.6644236883942765	2.3726387188283127E-8	2.3726387188283127E-8	3.217603739003039E-7
GNF_U133A_QUARTILE	Trigeminal Ganglion_3rd	51	19.767441860465116	2.585658723462651E-9	ELF3, CBX2, SDC4, CANX, SERPINA1, RARB, ASPH, BHLHE41, F11R, RARG, LAD1, ALDH3B1, TACSTD2, NUCB2, EMP2, EPS8L1, ACVR1, SERP1, GCLC, ERBB3, ERBB2, SSH3, ITGB4, ADH5, SOX4, EPHB3, CDH3, DAZAP2, ALDH1A1, AHNAK2, GALE, EHD2, COL8A2, RUNX2, ETV4, BMP1, MYO1C, MRC2, ANXA1, LMNA, S100A11, ITGA3, MXRA8, MID1, EPHA2, SOD3, TMPRSS4, DUSP5, COG5, CD55, DUSP6	200	1433	13681	2.4345115143056524	2.0168135750342486E-7	1.008406838032272E-7	2.7350592457509038E-6
GNF_U133A_QUARTILE	subthalamicnucleus_3rd	70	27.131782945736433	1.024302037469954E-6	WASF3, VPS37C, CANX, CD47, CTTN, SERPINA1, RARA, ASPH, RARB, BHLHE41, WWOX, ALS2CL, PLD2, ALDH6A1, FECH, RARG, CARD10, NCAM1, NPTXR, EML1, FBXL5, SEMA4C, RYR1, RIN1, STBD1, SEPT8, PALM, SCN1B, MRPS14, ERBB3, TNFRSF12A, SSH3, ABTB2, PFKFB2, ITGB4, SFXN3, OXTR, SNX4, DAZAP2, ABCA4, EPHB3, CDH6, ALDH1A1, ACSL1, ECE1, BCL2, AHNAK2, AGRN, UGT8, RUNX1, MT1F, INF2, DTX4, TMC6, BMP1, SELL, MRC2, LMNA, TMPRSS5, CAMK2N1, EPHA2, PLEKHA4, ADCY9, IRF5, CSNK1E, BBC3, ALDH2, PON2, IDI1, PC	200	2754	13681	1.7386891793754538	7.98924082768826E-5	2.6631511990116152E-5	0.0010834813832238943
GNF_U133A_QUARTILE	Adrenal Cortex_3rd	62	24.031007751937985	1.3441590552435592E-6	WASF3, LGMN, CBX2, CANX, ACSF2, CTTN, ASPH, LDAH, PLD2, ALDH6A1, F11R, ACADM, RARG, ARNTL, ALDH3B1, RDH5, INHBB, NCAM1, NPTXR, ALDH1B1, MLEC, FLII, STBD1, ACVR1, EPN2, PALM, GGCT, TNFRSF12A, ADH5, SFXN3, SOX4, SERPINH1, ACAT1, ACSL1, ECE1, AHNAK2, RUNX1, EHD2, COL8A2, MT1G, MT1F, BMP1, MYO1C, RMDN1, MRC2, SPHK1, S100A11, ANXA1, LMNA, ACACB, MXRA8, SOD3, ITPR1, PLEKHA4, COG5, ARMC8, ADCY9, CDON, SDHD, ALDH2, IDI1, PC	200	2328	13681	1.82178264604811	1.0483898078583742E-4	2.621077568565333E-5	0.0014218160545698133
GNF_U133A_QUARTILE	Medulla Oblongata_3rd	85	32.945736434108525	4.225004429252839E-6	ELF3, LGMN, VPS37C, SDC4, AKT1, CD47, CTTN, NOD1, SERPINA1, RARA, F11R, LAD1, ALDH3B1, VASP, CARD10, INHBB, EVPL, CST6, DOK4, TACSTD2, NAB2, SEMA4C, FLII, EFNA4, EMP2, CTSH, EPS8L1, WDR46, ACVR1, EPN2, ADAM15, SERP1, MRPS14, TNFRSF12A, ERBB3, SSH3, ERBB2, ITGB4, SFXN3, SOX4, DAZAP2, EPHB3, SERPINH1, SCRIB, CORO2A, HRH1, ACSL1, ECE1, LY6E, SYBU, GATAD2A, GALE, AGRN, RUNX1, EHD2, MT1G, MT1F, INF2, DTX4, TMC6, BMP1, EPPK1, MYO1C, MRC2, LMNA, S100A11, ITGA3, MXRA8, ACACB, MID1, SOD3, EPHA2, CAMK2N1, DVL1, CD55, PLK3, ADCY9, IRF5, CSNK1E, ALDH2, GRB7, ARAP1, GGA3, DUSP6, MYH10	200	3750	13681	1.5505133333333334	3.2949674567572806E-4	6.590803630102116E-5	0.004469036777809965
CGAP_SAGE_QUARTILE	416:mammary gland_ER+, PR+, HER2-, grade II_3rd	38	14.728682170542637	5.695961459839599E-6	ELF3, TNFRSF12A, SSH3, ABTB2, OXTR, WTIP, CDH3, ACSF2, CDH6, RSPO4, ECE1, COL8A2, ETV4, MDFI, F11R, MYO1C, SPHK1, MRC2, TATDN3, EPHA2, SOD3, DVL1, DUSP5, PLEKHA4, RCC2, CSNK1E, TACSTD2, NAB2, IER5L, SDHD, PSORS1C1, SEMA4C, FBLN7, FLII, DCUN1D3, EMP2, ARAP1, ACVR1	211	1328	16356	2.2180951293324958	0.0019745522573316743	0.0019745522573316743	0.007779995949297458
CGAP_SAGE_QUARTILE	157:mammary gland_breast  carcinoma epithelium_3rd	37	14.34108527131783	1.0552326398911534E-5	ELF3, TNFRSF12A, SSH3, ERBB2, SNX4, CDH6, CORO2A, ECE1, LY6E, GRIN2C, ACOT11, AGRN, INF2, F11R, RARG, RMDN1, CCNC, ARRDC2, CAMK2N1, TATDN3, VASP, DVL1, ZNF664, NUBPL, PLEKHA4, COG5, IGSF8, RCC2, CSNK1E, TACSTD2, IER5L, SPCS3, DIO1, GRB7, ARAP1, EPS8L1, ADAM15	211	1310	16356	2.1893998046380374	0.003654980817434317	0.0018291633279573505	0.01441276133986591
CGAP_SAGE_QUARTILE	153:mammary gland_breast  carcinoma epithelium_3rd	35	13.565891472868216	1.1519753391215373E-5	GGCT, TNFRSF12A, SSH3, ERBB2, SNX4, CDH3, CORO2A, RSPO4, ECE1, GRIN2C, ACOT11, AGRN, ASPH, CEP170B, INF2, LAD1, MYO1C, LIFR, CCNC, TATDN3, VASP, EPHA2, DVL1, NUBPL, INHBB, IGSF8, ARMC8, RCC2, CSNK1E, TACSTD2, FLII, GRB7, ARAP1, SEPT8, ACVR1	211	1207	16356	2.2477883750790215	0.003989398573017389	0.0013315718208571914	0.015734012896895244
UP_TISSUE	Liver	54	20.930232558139537	1.2981486785469589E-5	NRP2, LGMN, CANX, ACBD5, CD47, SERPINA1, ASPH, RARB, WWOX, ALS2CL, VASN, ALDH6A1, F11R, ACADM, NEXN, CARD10, IGSF8, FAM114A2, RYR1, GPAM, CTSH, GCLC, ADH5, SNX4, SEC62, ALDH1A1, ACSL1, ECE1, COL6A6, AGRN, EHD2, MT1G, MT1F, INF2, MYO1C, RMDN1, MRC2, ACACB, CAMK2N1, ITPR1, EPHA2, SOD3, CD55, SDHD, SPCS3, ALDH2, PON2, DIO1, PGK1, IDI1, GRB7, PC, MYH10, DUSP6	251	2222	18912	1.8311058197453212	0.0019842092190055505	0.0019842092190055505	0.01555403363989738
UNIGENE_EST_QUARTILE	thyroid tumor_disease_3rd	74	28.68217054263566	3.634138242337095E-5	PHKB, CANX, ACSF2, ACBD5, NOD1, STRA6, LGI3, BHLHE41, CEP170B, WWOX, ALS2CL, LIFR, RIC8B, ARRDC2, ZSWIM4, SCEL, SACM1L, NUMBL, INHBB, EVPL, CST6, ALDH1B1, CFL2, NAB2, RYR1, STBD1, DCUN1D3, GPAM, EMP2, CTSH, ADAM15, SERP1, NETO2, ERBB2, PFKFB2, SFXN3, RTKN, CACNB4, SEC62, CDH6, PLEKHG4, BCL2, POU2F3, PLEKHG5, GATAD2A, RUNX2, COL8A2, ETV4, MT1G, SCO1, MT1F, INF2, DTX4, BMP1, ADAL, RMDN1, SPHK1, RTN4R, ANXA1, ITGA3, ACACB, ITPR1, ZNF664, NUBPL, DUSP5, ADCY9, PRICKLE1, DIO2, BBC3, CDON, SPCS3, PLEKHN1, DIO1, ARAP1	225	3824	18142	1.560330079033008	0.0027581844522345245	0.0027581844522345245	0.038235442091572036
