"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"ZFPM2--SOX5"	"ZFPM2--SOX5"	36	3.57	0.000353	0.145	0.133	""
"HES6"	"HES6"	104	3.04	0.00241	0.27	NA	"GSS, RHBDD2, PAPSS2, RPS6KA5, + 78 genes"
"E2F1"	"E2F1"	152	2.8	0.00509	0.284	NA	"PAPSS2, H2AFY, DDB2, RPS27L, + 120 genes"
"PBX3"	"PBX3"	126	2.71	0.00667	0.287	NA	"HIGD1B, IPO13, RHBDD2, SPRY4, + 62 genes"
"FOXD2"	"FOXD2"	49	2.71	0.0067	0.287	NA	"HIGD1B, GULP1, PDGFB, H2AFY, + 33 genes"
"NR1D1"	"NR1D1"	33	2.6	0.00934	0.289	NA	"IPCEF1, SERINC2, METTL8, TDRKH-AS1, + 21 genes"
"RFX8"	"RFX8"	65	2.52	0.0117	0.299	NA	"GJC1, GULP1, PDGFB, GRB10, + 46 genes"
"DBP"	"DBP"	55	2.41	0.016	0.342	NA	"RHBDD2, TLE4, NINJ1, CEP85L, + 38 genes"
"HES1"	"HES1"	63	2.39	0.017	0.347	NA	"MIEN1, RRP8, LDLRAP1, IAH1, + 42 genes"
"ETV5"	"ETV5"	95	2.37	0.0178	0.349	NA	"PAPSS2, CLPTM1L, AGPAT4, PPP5C, + 63 genes"
"ZNF467"	"ZNF467"	60	2.35	0.0186	0.356	NA	"ARHGAP22, TBKBP1, CLEC14A, SGMS2, + 35 genes"
"FOXK2"	"FOXK2"	89	2.32	0.0206	0.377	NA	"MMRN1, MANEAL, SBSPON, ABCA6, + 53 genes"
"SREBF1"	"SREBF1"	116	2.29	0.022	0.388	NA	"TMEM63B, DDB2, MMRN1, CDH6, + 78 genes"
"HEY1"	"HEY1"	46	2.27	0.0233	0.403	NA	"ADAMTSL2, CSPG4, CXorf36, KLHL32, + 32 genes"
"TFE3"	"TFE3"	50	2.18	0.0294	0.431	NA	"SIGMAR1, MBOAT7, CEP170B, ELMO2, + 33 genes"
"ZNF319"	"ZNF319"	45	2.14	0.0324	0.431	NA	"NCK2, MAST2, MLF1, USB1, + 26 genes"
"ETV4"	"ETV4"	191	2.13	0.0332	0.431	NA	"PHLDA3, EPHA3, TNFRSF10B, SEMA3F, + 134 genes"
"SOX12"	"SOX12"	86	2.02	0.0431	0.478	NA	"RECQL, CYB5R4, TBKBP1, P3H4, + 69 genes"
"NR2F6"	"NR2F6"	46	2.01	0.044	0.478	NA	"PHLDA3, MBOAT7, RAB34, METTL4, + 39 genes"
"GATAD2A"	"GATAD2A"	244	1.97	0.0487	0.492	NA	"GPM6B, PROX1, PLXND1, LMOD1, + 133 genes"
"ZNF581"	"ZNF581"	166	1.93	0.0539	0.521	NA	"DDX59, RUNX1T1, CYTH3, LMOD1, + 112 genes"
"RXRG"	"RXRG"	343	1.9	0.0575	0.527	NA	"FGL2, ETV4, SPATS2, PPP5C, + 206 genes"
"DNAJC1"	"DNAJC1"	112	1.89	0.0587	0.529	NA	"CLEC14A, PLVAP, SIL1, KLHL32, + 64 genes"
