"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"ETV4"	"ETV4"	154	4.49	7.27e-06	0.00303	NA	"RNF24, IGF2BP2, GALNT7, RAD23B, + 151 genes"
"LRRFIP2--GZF1"	"LRRFIP2--GZF1"	27	4.22	2.42e-05	0.00437	1.11e-05	""
"ETV5"	"ETV5"	95	4.09	4.34e-05	0.00653	NA	"IGF2BP2, PPP5C, AGPAT4, KIAA1211L, + 77 genes"
"RARA"	"RARA"	222	3.87	0.00011	0.00911	NA	"LRIG1, BMP1, SEMA4C, FTCDNL1, + 232 genes"
"NR1D1"	"NR1D1"	33	3.85	0.000116	0.00911	NA	"B3GNT7, PLA2R1, TBC1D4, TDRKH-AS1, + 28 genes"
"TCFL5--GATAD2A"	"TCFL5--GATAD2A"	33	3.81	0.000138	0.00911	0.000109	""
"LRRFIP2--TCFL5"	"LRRFIP2--TCFL5"	26	3.81	0.000141	0.00911	0.0013	""
"SREBF1"	"SREBF1"	116	3.7	0.000216	0.0125	NA	"BMP1, FTCDNL1, MATN2, ECE1, + 91 genes"
"GZF1--GATAD2A"	"GZF1--GATAD2A"	29	3.57	0.000358	0.0156	0.000276	""
"HEY2"	"HEY2"	69	3.52	0.00044	0.0169	NA	"IGF2BP2, TGFB1, MPPED2, SHLD2, + 68 genes"
"PRDM1"	"PRDM1"	62	3.51	0.000449	0.0169	NA	"LRIG1, IGF2BP2, MATN2, B3GNT7, + 48 genes"
"GATAD2A"	"GATAD2A"	244	3.45	0.000562	0.018	NA	"GALNT7, MATN2, EPS8, ECE1, + 197 genes"
"PLAG1"	"PLAG1"	136	3.44	0.000579	0.018	NA	"RNF24, IGF2BP2, WDR72, NDRG2, + 100 genes"
"RXRG"	"RXRG"	222	3.35	0.000802	0.0213	NA	"IGF2BP2, NCS1, PPP5C, BMP1, + 274 genes"
"RARG"	"RARG"	265	3.29	0.001	0.0226	NA	"BMP1, SEMA4C, ECE1, DUSP6, + 222 genes"
"HES6"	"HES6"	84	3.28	0.00104	0.0226	NA	"RNF24, BMP1, TNS3, ETV5, + 81 genes"
"E2F1"	"E2F1"	152	3.27	0.00108	0.0226	NA	"TNS3, TGFB1, DDB2, GALE, + 133 genes"
"ELK1"	"ELK1"	76	3.25	0.00114	0.0234	NA	"AGPAT4, MPPED2, ABR, MPZL2, + 65 genes"
"ZNF581"	"ZNF581"	153	3.2	0.00137	0.0257	NA	"PLSCR4, PLA2R1, ANKS1B, MMS19, + 125 genes"
"STAT6"	"STAT6"	100	3.16	0.00156	0.0281	NA	"FTCDNL1, IQCH-AS1, TMEM164, SHROOM4, + 79 genes"
"SOX8"	"SOX8"	27	3.09	0.00198	0.0318	NA	"SLC26A7, ANGPTL1, GLT8D2, RABL3, + 19 genes"
"ETV1"	"ETV1"	72	3.07	0.00213	0.0318	NA	"GLT1D1, CFI, MPZL2, ADK, + 50 genes"
"MIER2"	"MIER2"	120	3.07	0.00214	0.0318	NA	"PAPSS2, CPNE3, CDH24, TMEM44, + 110 genes"
"TSC22D1"	"TSC22D1"	208	3.01	0.0026	0.0367	NA	"FTCDNL1, EPS8, ECE1, TUSC3, + 136 genes"
"POU2F3"	"POU2F3"	155	3	0.00271	0.0376	NA	"PLCH1, TUSC3, TMEM41A, SLC35F2, + 116 genes"
"RELA"	"RELA"	65	2.95	0.00317	0.0421	NA	"PLEKHN1, LIMK1, PLEKHM2, ZNF527, + 50 genes"
"NPAS1"	"NPAS1"	145	2.93	0.00341	0.0438	NA	"TGFB1, SHLD2, FHDC1, ETV4, + 123 genes"
"MLXIPL"	"MLXIPL"	145	2.91	0.00359	0.044	NA	"PLCD3, TMEM164, PLEKHN1, LAD1, + 101 genes"
"FOXD2"	"FOXD2"	49	2.86	0.00419	0.0466	NA	"CPNE3, CDH24, COL13A1, C5AR2, + 41 genes"
"NFATC4"	"NFATC4"	164	2.85	0.00434	0.0466	NA	"LRIG1, BMP1, DLG4, GALE, + 129 genes"
"NFE2L3"	"NFE2L3"	159	2.84	0.00448	0.047	NA	"FTCDNL1, TUSC3, MAPK13, CFI, + 106 genes"
"HMGA1"	"HMGA1"	161	2.75	0.00587	0.0589	NA	"MPPED2, ABCC3, SLC4A4, FLII, + 120 genes"
"LBX2"	"LBX2"	69	2.75	0.00591	0.0589	NA	"NMNAT3, TGFB1, OSBPL1A, TMEM44, + 50 genes"
"ZNF233"	"ZNF233"	35	2.75	0.006	0.0589	NA	"ARPC2, ALOX5, ANXA2, FAM189A2, + 9 genes"
"TFE3"	"TFE3"	50	2.72	0.00651	0.0612	NA	"APLP2, CEP170B, C1orf216, MTSS1L, + 39 genes"
"IRF5"	"IRF5"	115	2.68	0.00747	0.066	NA	"TGFB1, SLC35F2, SLC26A7, SYNE1, + 95 genes"
"SOX4"	"SOX4"	91	2.65	0.00799	0.0683	NA	"FAM151A, SHROOM4, RAPGEF5, ACACB, + 76 genes"
"RUNX1"	"RUNX1"	358	2.62	0.00877	0.0725	NA	"DDX52, NMNAT3, MATN2, MPPED2, + 290 genes"
"FOXK2"	"FOXK2"	89	2.61	0.00915	0.075	NA	"SBSPON, TMEM41A, LPP-AS2, ANGPTL1, + 64 genes"
"RUNX2"	"RUNX2"	263	2.55	0.0108	0.0852	NA	"IGF2BP2, GALNT7, SEMA4C, B3GNT7, + 214 genes"
"ZNF213"	"ZNF213"	82	2.52	0.0118	0.0917	NA	"PPP1R9B, TDRKH-AS1, HECTD3, FHOD1, + 64 genes"
"HMGXB3"	"HMGXB3"	99	2.5	0.0123	0.0944	NA	"ABR, MAPK13, PAX6, MET, + 76 genes"
"TSC22D4"	"TSC22D4"	111	2.47	0.0133	0.101	NA	"PLSCR4, UCHL5, RAVER2, HSDL1, + 91 genes"
"YBX3"	"YBX3"	138	2.45	0.0144	0.109	NA	"BMP1, DUSP6, GALE, LPAR5, + 104 genes"
"ZBTB7A"	"ZBTB7A"	138	2.44	0.0146	0.109	NA	"FTCDNL1, MATN2, ECE1, PRKCQ, + 111 genes"
"NR1H2"	"NR1H2"	89	2.32	0.0201	0.132	NA	"SH3GL1, BAG6, STRN4, FZD5, + 74 genes"
"ARNTL"	"ARNTL"	93	2.29	0.022	0.141	NA	"IGF2BP2, KIAA1211L, L3MBTL4, DUSP6, + 78 genes"
"ZNF732"	"ZNF732"	51	2.28	0.0224	0.141	NA	"TMEM164, PRPS1, TDRKH-AS1, EFEMP1, + 36 genes"
"KLF16"	"KLF16"	64	2.24	0.0253	0.156	NA	"SLC4A4, BID, PRUNE1, WASF3, + 49 genes"
"ELF3"	"ELF3"	160	2.23	0.0259	0.159	NA	"SREBF1, SYNE1, PLCD3, EVPL, + 103 genes"
"BHLHE40"	"BHLHE40"	52	2.22	0.0266	0.161	NA	"SYP, ABR, DUSP4, MSN, + 40 genes"
"TP53"	"TP53"	81	2.15	0.0317	0.182	NA	"CDH3, CD276, UNC5B, LIMK1, + 58 genes"
"HES4"	"HES4"	68	2.14	0.0323	0.183	NA	"PTP4A3, BICDL2, ZNF132, SYTL1, + 46 genes"
"MTA2"	"MTA2"	220	2.11	0.0349	0.191	NA	"MATN2, PLSCR4, ANKS1B, WDR72, + 174 genes"
"ZNF319"	"ZNF319"	45	2.1	0.0358	0.193	NA	"PPP1R9B, USB1, SH2D4A, CDADC1, + 30 genes"
"NONO"	"NONO"	64	2.09	0.0365	0.193	NA	"RNF24, RAD23B, MAPK13, PLXNB2, + 47 genes"
