"x"
"1"	"GZF1 -> POU2F3"
"2"	"SREBF1 -> SMAD9"
"3"	"SREBF1 -> ETV4"
"4"	"RARG -> RARA"
"5"	"RARG -> GATAD2A"
"6"	"RARG -> SMAD9"
"7"	"RARG -> ETV4"
"8"	"RARG -> HMGA1"
"9"	"TFCP2L1 -> MLLT3"
"10"	"TFCP2L1 -> SMAD9"
"11"	"TFCP2L1 -> ETV4"
"12"	"TFCP2L1 -> HEY2"
"13"	"TFCP2L1 -> PEG3"
"14"	"RARA -> HES6"
"15"	"MLLT3 -> ZKSCAN5"
"16"	"ZFP36L2 -> SMAD9"
"17"	"ZKSCAN5 -> PEG3"
"18"	"GATAD2A -> HMGA1"
"19"	"GATAD2A -> STAT6"
"20"	"SMAD9 -> HES6"
"21"	"PEG3 -> HMGA1"
"22"	"TCFL5 -> PRDM1"
"23"	"SREBF1 -> GZF1"
"24"	"TFCP2L1 -> GZF1"
"25"	"ZKSCAN5 -> GZF1"
"26"	"PROX1 -> GZF1"
"27"	"GATAD2A -> RARA"
"28"	"ETV4 -> RARA"
"29"	"TCFL5 -> RARA"
"30"	"TCFL5 -> POU2F3"
"31"	"ZNF480 -> POU2F3"
"32"	"RARB -> SMAD9"
"33"	"TCFL5 -> PEG3"
"34"	"RARB -> HMGA1"
"35"	"ZNF480 -> HMGA1"
