Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UNIGENE_EST_QUARTILE	thyroid tumor_disease_3rd	60	0.2332996344972393	3.29297784003242E-7	IBA57, MPZL2, SRCIN1, TRMT2B, SENP8, CCDC146, VLDLR-AS1, CITED1, SLA, ARHGAP6, SPX, DIRAS3, TPO, MSN, CEP170B, L3MBTL4, ICAM5, METTL7B, LPCAT4, ALDH1B1, PARP14, DEGS1, ADAM15, SRGAP2, ZNF808, ACADSB, SDCCAG8, PFKFB2, TFCP2L1, SFXN3, IGF2BP2, SFXN2, EPB41L4B, SRC, EPHB1, STARD13, TSC22D1, OSBPL1A, POU2F3, CCDC126, GATAD2A, RUNX2, MLLT3, RMDN1, HGD, ITGA3, ACACB, RGS16, WBP1L, ITPR1, IYD, DUSP4, MYO10, FYN, CABIN1, ABCC3, DEPTOR, ID4, DNAL1, VLDLR	152	3824	18142	1.8727290244439552	2.50263225440861E-5	2.50263225440861E-5	3.46519714844451E-4
UNIGENE_EST_QUARTILE	thyroid_normal_3rd	59	0.22941130725561862	5.388313379116499E-7	IBA57, SRCIN1, SENP8, VLDLR-AS1, PRELID3A, CITED1, FAM124A, SLA, ARHGAP6, SPX, DIRAS3, TPO, MSN, CEP170B, L3MBTL4, ICAM5, METTL7B, PARP14, DEGS1, ADAM15, ZNF808, SDCCAG8, PFKFB2, TFCP2L1, SFXN3, CALCOCO2, IGF2BP2, SFXN2, EPB41L4B, SRC, EPHB1, STARD13, POU2F3, DNAAF1, CCDC126, GATAD2A, ADAM33, RUNX2, MLLT3, RMDN1, EFEMP1, HGD, ITGA3, ACACB, RGS16, WBP1L, SHANK2, ITPR1, IYD, DUSP4, MYO10, FAM151A, FYN, CABIN1, ABCC3, DEPTOR, ID4, DNAL1, VLDLR	152	3780	18142	1.8629525201893622	4.095035422324589E-5	2.0475386732332623E-5	5.670110894029357E-4
UNIGENE_EST_QUARTILE	laryngeal cancer_disease_3rd	50	0.19441636208103275	1.0502550896989102E-5	NUAK2, TRMT2B, CCDC146, SLA, TRIM47, DIP2C, TPO, C11ORF80, MSN, C16ORF45, NMNAT3, L3MBTL4, NECTIN4, NCAM1, ALDH7A1, PARP14, RNF24, KIZ, SDCCAG8, TFCP2L1, PFKFB2, HK1, IGF2BP2, EPB41L4B, SFXN2, EPHB3, EPHB1, STARD13, ACSL1, NR1D1, OSBPL1A, POU2F3, RUNX1, RUNX2, NSUN4, MLLT3, OSBPL6, S100A11, ESRRG, HGD, ITGA3, WBP1L, SAMD1, MYO10, NEB, FYN, TRIM58, CABIN1, FAM234B, ST7	152	3245	18142	1.8390641472711053	7.978795844041375E-4	2.660306274869795E-4	0.011051288025309969
GNF_U133A_QUARTILE	Adrenal Cortex_3rd	37	0.14386810793996424	1.4168221269466458E-4	WASF3, SFXN3, CALCOCO2, IGF2BP2, SRC, STARD13, CITED2, GLT8D2, TNFRSF1A, ACSL1, DIP2C, SPX, OSBPL1A, RUNX1, PAPSS2, GHR, SHMT2, ARHGEF2, LGALS3, RMDN1, EFEMP1, S100A11, VTI1B, MXRA8, ACACB, WBP1L, ALDH3B1, ITPR1, NCAM1, DUSP4, ALDH7A1, ALDH1B1, ADK, DEPTOR, RNF24, MVP, DEGS1	117	2328	13681	1.8584493494287309	0.010991146615176084	0.010991146615176084	0.14976703349222076
UNIGENE_EST_QUARTILE	larynx_normal_3rd	45	0.17497472587292945	2.862020241875112E-4	KIZ, SDCCAG8, NUAK2, TFCP2L1, PFKFB2, TRMT2B, CCDC146, IGF2BP2, EPHB3, EPHB1, STARD13, SLA, ACSL1, NR1D1, DIP2C, POU2F3, TPO, C11ORF80, MSN, RUNX1, RUNX2, C16ORF45, NSUN4, MLLT3, NMNAT3, GPR155, L3MBTL4, OSBPL6, S100A11, ESRRG, HGD, NECTIN4, ACACB, WBP1L, SAMD1, MYO10, ALDH7A1, NEB, FYN, PARP14, TRIM58, CABIN1, RNF24, FAM234B, ST7	152	3179	18142	1.6895208688597871	0.02151954527087685	0.005423854266733863	0.3007604767045535
KEGG_PATHWAY	hsa01100:Metabolic pathways	22	0.0855431993156544	4.49966373103535E-4	NMNAT3, POLR3F, NADK2, IMPA2, ACADSB, SHMT2, HGD, HK1, ACACB, LPCAT4, ALDH3B1, RDH12, CTH, ALDH7A1, ACSL1, PIP5KL1, ALDH1B1, ADK, TPO, PAPSS1, PAPSS2, DEGS1	58	1219	6879	2.1405052190885687	0.06822193396123266	0.06822193396123266	0.540229255466651
GNF_U133A_QUARTILE	Medulla Oblongata_3rd	49	0.19052803483941208	7.716707940188642E-4	IMPA2, TRMT2B, LSR, SLA, CITED2, EFHD2, ARHGAP6, MOB3B, MSN, ARHGEF2, ALDH3B1, DENND3, DEGS1, MVP, ADAM15, BID, SFXN3, HK1, EPB41L4B, EPHB3, MDK, SRC, STARD13, TSC22D1, TNFRSF1A, ACSL1, DNAAF1, GATAD2A, RUNX1, PAPSS2, SHMT2, LGALS3, EFEMP1, S100A11, ITGA3, ISOC1, ACACB, MXRA8, SHANK2, WBP1L, DUSP4, MYO10, FYN, NELFA, ABCC3, CABIN1, ID4, PPP1R13B, ST7	117	3750	13681	1.5279065527065527	0.05843656576891365	0.029658083853383976	0.8132484998026879
CGAP_SAGE_QUARTILE	154:prostate_prostate carcinoma_3rd	28	0.10887316276537834	8.139301464868257E-4	ACADSB, NUAK2, TFCP2L1, PFKFB2, CALCOCO2, HK1, LSR, SRC, TRIM47, FBXO27, OSBPL1A, SHISA5, C11ORF80, ADAM33, ZNF271P, ARHGEF2, MROH6, S100A11, ITGA3, LPCAT4, GPR37L1, CCDC110, ALDH7A1, FAM151A, PARP14, NELFA, ADAM15, ST7	141	1664	16356	1.9519230769230769	0.24614012009557773	0.24614012009557773	1.106060798291919
GNF_U133A_QUARTILE	globuspallidus_3rd	34	0.13220312621510227	0.0012018941211894296	IMPA2, MPZL2, CALCOCO2, IGF2BP2, EPB41L4B, MMRN1, LSR, MDK, STARD13, SLA, CITED2, TNFRSF1A, ACSL1, DNAAF1, MSN, PAPSS2, GHR, SHMT2, EFEMP1, S100A11, HGD, ITGA3, MXRA8, WBP1L, ALDH3B1, DUSP4, MYO10, ALDH7A1, ADK, ABCC3, ID4, ADAM22, DENND3, MVP	117	2304	13681	1.725553478157645	0.0895389178076611	0.030784251646538308	1.2640477061849675
UNIGENE_EST_QUARTILE	colorectal tumor_disease_3rd	51	0.1983046893226534	0.0015197709157781258	SRCIN1, VPS54, TRMT2B, CCDC146, VLDLR-AS1, LSR, CITED1, TRIM47, PIP5KL1, SH2D6, PPP1R1B, TPO, MOB3B, DHX35, CEP170B, C16ORF45, LPGAT1, MROH6, LPCAT4, ALDH3B1, GPR37L1, ALDH1B1, RNF24, SDCCAG8, ACADSB, PFKFB2, SFXN3, IGF2BP2, EPB41L4B, EPHB3, SRC, STARD13, NR1D1, POU2F3, CCDC126, GATAD2A, RUNX1, PAPSS2, RUNX2, MLLT3, S100A11, HGD, ACACB, SHANK2, SAMD1, IYD, MYO10, FAM151A, ABCC3, CABIN1, ST7	152	4057	18142	1.5003989206439812	0.1091600055364843	0.022852913824540577	1.587732837820377
